lay_down,num_nodes,num_edges,av_ep_reward
1582-0.yaml,30,48,
571-0.yaml,23,36,
1223-0.yaml,38,60,
1951-0.yaml,30,48,
441-0.yaml,36,57,
1956-0.yaml,49,75,
1462-0.yaml,23,36,
367-0.yaml,30,48,
1110-0.yaml,49,75,
631-0.yaml,16,27,
297-0.yaml,36,57,
1818-0.yaml,36,57,
1238-0.yaml,39,64,
766-0.yaml,16,27,
1148-0.yaml,39,64,
535-0.yaml,23,36,
1289-0.yaml,36,57,
1796-0.yaml,39,64,
118-0.yaml,16,27,
1859-0.yaml,39,64,
1490-0.yaml,39,64,
1608-0.yaml,24,40,
1679-0.yaml,39,64,
695-0.yaml,36,57,
1926-0.yaml,36,57,
24-0.yaml,24,40,
1862-0.yaml,38,60,
1976-0.yaml,39,64,
1887-0.yaml,24,40,
699-0.yaml,24,40,
1909-0.yaml,16,27,
706-0.yaml,23,36,
1589-0.yaml,39,64,
186-0.yaml,24,40,
1890-0.yaml,36,57,
985-0.yaml,23,36,
1144-0.yaml,16,27,
1978-0.yaml,30,48,
143-0.yaml,38,60,
649-0.yaml,16,27,
559-0.yaml,16,27,
578-0.yaml,36,57,
5-0.yaml,39,64,
335-0.yaml,36,57,
1488-0.yaml,49,75,
1673-0.yaml,38,60,
1742-0.yaml,39,64,
865-0.yaml,16,27,
1097-0.yaml,38,60,
1308-0.yaml,49,75,
896-0.yaml,39,64,
1372-0.yaml,23,36,
1534-0.yaml,23,36,
790-0.yaml,30,48,
279-0.yaml,36,57,
1822-0.yaml,23,36,
982-0.yaml,16,27,
940-0.yaml,23,36,
1406-0.yaml,36,57,
976-0.yaml,23,36,
1888-0.yaml,30,48,
666-0.yaml,36,57,
1539-0.yaml,36,57,
1585-0.yaml,16,27,
637-0.yaml,30,48,
738-0.yaml,36,57,
1664-0.yaml,38,60,
1817-0.yaml,38,60,
242-0.yaml,38,60,
140-0.yaml,39,64,
1871-0.yaml,38,60,
347-0.yaml,39,64,
1149-0.yaml,24,40,
139-0.yaml,23,36,
1933-0.yaml,30,48,
1197-0.yaml,36,57,
546-0.yaml,24,40,
1671-0.yaml,24,40,
1806-0.yaml,24,40,
1568-0.yaml,36,57,
1126-0.yaml,16,27,
46-0.yaml,16,27,
1307-0.yaml,36,57,
403-0.yaml,30,48,
550-0.yaml,16,27,
873-0.yaml,36,57,
992-0.yaml,36,57,
722-0.yaml,36,57,
1590-0.yaml,24,40,
1703-0.yaml,36,57,
1668-0.yaml,49,75,
34-0.yaml,30,48,
187-0.yaml,30,48,
547-0.yaml,30,48,
474-0.yaml,24,40,
1109-0.yaml,36,57,
1267-0.yaml,30,48,
477-0.yaml,36,57,
1807-0.yaml,30,48,
1506-0.yaml,49,75,
1040-0.yaml,39,64,
68-0.yaml,39,64,
1555-0.yaml,30,48,
587-0.yaml,36,57,
1997-0.yaml,38,60,
681-0.yaml,24,40,
1618-0.yaml,30,48,
234-0.yaml,36,57,
476-0.yaml,38,60,
522-0.yaml,36,57,
863-0.yaml,38,60,
71-0.yaml,38,60,
950-0.yaml,39,64,
917-0.yaml,38,60,
700-0.yaml,30,48,
1145-0.yaml,36,57,
414-0.yaml,36,57,
330-0.yaml,24,40,
1770-0.yaml,24,40,
1720-0.yaml,16,27,
488-0.yaml,36,57,
416-0.yaml,36,57,
302-0.yaml,39,64,
861-0.yaml,24,40,
1752-0.yaml,24,40,
837-0.yaml,36,57,
431-0.yaml,38,60,
25-0.yaml,30,48,
1802-0.yaml,36,57,
1124-0.yaml,38,60,
1645-0.yaml,30,48,
1377-0.yaml,36,57,
658-0.yaml,16,27,
951-0.yaml,24,40,
1744-0.yaml,30,48,
277-0.yaml,30,48,
189-0.yaml,36,57,
169-0.yaml,30,48,
679-0.yaml,23,36,
1973-0.yaml,36,57,
1235-0.yaml,36,57,
1054-0.yaml,16,27,
433-0.yaml,16,27,
1788-0.yaml,24,40,
1835-0.yaml,38,60,
1994-0.yaml,39,64,
1655-0.yaml,38,60,
304-0.yaml,30,48,
323-0.yaml,38,60,
1425-0.yaml,49,75,
39-0.yaml,49,75,
1440-0.yaml,36,57,
1359-0.yaml,36,57,
309-0.yaml,49,75,
428-0.yaml,39,64,
916-0.yaml,30,48,
1364-0.yaml,39,64,
1103-0.yaml,39,64,
663-0.yaml,24,40,
1224-0.yaml,36,57,
970-0.yaml,30,48,
1803-0.yaml,49,75,
1999-0.yaml,16,27,
1132-0.yaml,30,48,
1823-0.yaml,39,64,
1384-0.yaml,30,48,
1663-0.yaml,30,48,
1772-0.yaml,38,60,
1222-0.yaml,30,48,
1767-0.yaml,49,75,
1468-0.yaml,16,27,
1621-0.yaml,16,27,
256-0.yaml,23,36,
851-0.yaml,39,64,
1409-0.yaml,39,64,
1714-0.yaml,23,36,
48-0.yaml,49,75,
1048-0.yaml,23,36,
1786-0.yaml,23,36,
1061-0.yaml,38,60,
1427-0.yaml,39,64,
1432-0.yaml,16,27,
1669-0.yaml,23,36,
729-0.yaml,36,57,
1182-0.yaml,49,75,
75-0.yaml,49,75,
1911-0.yaml,49,75,
360-0.yaml,36,57,
978-0.yaml,24,40,
1194-0.yaml,24,40,
1831-0.yaml,23,36,
768-0.yaml,49,75,
164-0.yaml,36,57,
806-0.yaml,39,64,
1281-0.yaml,49,75,
40-0.yaml,23,36,
969-0.yaml,24,40,
407-0.yaml,36,57,
1780-0.yaml,30,48,
1814-0.yaml,39,64,
1460-0.yaml,36,57,
1833-0.yaml,24,40,
740-0.yaml,36,57,
1481-0.yaml,39,64,
927-0.yaml,36,57,
1659-0.yaml,49,75,
1190-0.yaml,36,57,
959-0.yaml,39,64,
103-0.yaml,23,36,
225-0.yaml,36,57,
1716-0.yaml,24,40,
354-0.yaml,49,75,
654-0.yaml,24,40,
815-0.yaml,39,64,
1800-0.yaml,36,57,
975-0.yaml,49,75,
363-0.yaml,49,75,
1272-0.yaml,49,75,
1376-0.yaml,38,60,
708-0.yaml,24,40,
325-0.yaml,16,27,
523-0.yaml,16,27,
193-0.yaml,23,36,
1140-0.yaml,24,40,
912-0.yaml,49,75,
1912-0.yaml,23,36,
591-0.yaml,24,40,
1232-0.yaml,38,60,
262-0.yaml,16,27,
76-0.yaml,23,36,
472-0.yaml,23,36,
586-0.yaml,16,27,
710-0.yaml,38,60,
396-0.yaml,36,57,
555-0.yaml,24,40,
1393-0.yaml,30,48,
152-0.yaml,38,60,
255-0.yaml,49,75,
1903-0.yaml,23,36,
228-0.yaml,49,75,
1306-0.yaml,16,27,
804-0.yaml,49,75,
1839-0.yaml,49,75,
1446-0.yaml,24,40,
1335-0.yaml,49,75,
1120-0.yaml,23,36,
282-0.yaml,49,75,
1239-0.yaml,24,40,
406-0.yaml,16,27,
1049-0.yaml,39,64,
293-0.yaml,39,64,
445-0.yaml,23,36,
1275-0.yaml,24,40,
771-0.yaml,24,40,
842-0.yaml,39,64,
596-0.yaml,36,57,
150-0.yaml,24,40,
1305-0.yaml,36,57,
562-0.yaml,23,36,
240-0.yaml,24,40,
1100-0.yaml,36,57,
1918-0.yaml,16,27,
1964-0.yaml,36,57,
803-0.yaml,36,57,
636-0.yaml,24,40,
1538-0.yaml,38,60,
1422-0.yaml,36,57,
32-0.yaml,39,64,
905-0.yaml,39,64,
938-0.yaml,36,57,
1734-0.yaml,24,40,
687-0.yaml,49,75,
869-0.yaml,39,64,
923-0.yaml,39,64,
1677-0.yaml,49,75,
593-0.yaml,38,60,
1487-0.yaml,36,57,
252-0.yaml,36,57,
1004-0.yaml,39,64,
1127-0.yaml,36,57,
852-0.yaml,24,40,
1410-0.yaml,24,40,
1205-0.yaml,38,60,
807-0.yaml,24,40,
1114-0.yaml,30,48,
1916-0.yaml,38,60,
419-0.yaml,39,64,
1923-0.yaml,24,40,
1907-0.yaml,38,60,
1686-0.yaml,49,75,
1615-0.yaml,23,36,
1264-0.yaml,23,36,
1943-0.yaml,38,60,
1434-0.yaml,49,75,
475-0.yaml,30,48,
442-0.yaml,16,27,
1401-0.yaml,24,40,
1846-0.yaml,16,27,
1552-0.yaml,23,36,
448-0.yaml,30,48,
1405-0.yaml,16,27,
527-0.yaml,39,64,
1068-0.yaml,24,40,
545-0.yaml,39,64,
1828-0.yaml,16,27,
792-0.yaml,36,57,
1414-0.yaml,16,27,
505-0.yaml,16,27,
60-0.yaml,24,40,
1435-0.yaml,23,36,
1535-0.yaml,39,64,
1037-0.yaml,36,57,
1674-0.yaml,36,57,
1626-0.yaml,24,40,
1152-0.yaml,36,57,
1680-0.yaml,24,40,
430-0.yaml,30,48,
891-0.yaml,36,57,
490-0.yaml,23,36,
1785-0.yaml,49,75,
1981-0.yaml,16,27,
1595-0.yaml,36,57,
776-0.yaml,36,57,
201-0.yaml,49,75,
154-0.yaml,16,27,
1597-0.yaml,23,36,
51-0.yaml,24,40,
1269-0.yaml,36,57,
1797-0.yaml,24,40,
1270-0.yaml,16,27,
1209-0.yaml,49,75,
126-0.yaml,36,57,
239-0.yaml,39,64,
1072-0.yaml,16,27,
616-0.yaml,23,36,
106-0.yaml,30,48,
1779-0.yaml,24,40,
791-0.yaml,38,60,
1974-0.yaml,49,75,
1761-0.yaml,24,40,
871-0.yaml,30,48,
224-0.yaml,38,60,
615-0.yaml,49,75,
1549-0.yaml,16,27,
1647-0.yaml,36,57,
1133-0.yaml,38,60,
1233-0.yaml,36,57,
1580-0.yaml,39,64,
971-0.yaml,38,60,
1731-0.yaml,49,75,
1864-0.yaml,16,27,
149-0.yaml,39,64,
594-0.yaml,36,57,
651-0.yaml,49,75,
689-0.yaml,39,64,
1088-0.yaml,38,60,
751-0.yaml,23,36,
295-0.yaml,30,48,
590-0.yaml,39,64,
175-0.yaml,23,36,
931-0.yaml,23,36,
825-0.yaml,24,40,
517-0.yaml,23,36,
341-0.yaml,38,60,
1005-0.yaml,24,40,
1692-0.yaml,36,57,
777-0.yaml,49,75,
1774-0.yaml,16,27,
332-0.yaml,38,60,
703-0.yaml,16,27,
170-0.yaml,38,60,
1706-0.yaml,39,64,
1424-0.yaml,36,57,
1848-0.yaml,49,75,
780-0.yaml,24,40,
113-0.yaml,39,64,
538-0.yaml,30,48,
1078-0.yaml,30,48,
1137-0.yaml,49,75,
633-0.yaml,49,75,
1436-0.yaml,39,64,
1366-0.yaml,30,48,
1463-0.yaml,39,64,
1105-0.yaml,30,48,
1747-0.yaml,16,27,
1627-0.yaml,30,48,
530-0.yaml,38,60,
1412-0.yaml,38,60,
1370-0.yaml,36,57,
1860-0.yaml,24,40,
1684-0.yaml,16,27,
1187-0.yaml,38,60,
492-0.yaml,24,40,
1236-0.yaml,49,75,
1444-0.yaml,23,36,
385-0.yaml,30,48,
1039-0.yaml,23,36,
209-0.yaml,36,57,
1507-0.yaml,23,36,
1646-0.yaml,38,60,
1248-0.yaml,24,40,
855-0.yaml,36,57,
752-0.yaml,39,64,
866-0.yaml,36,57,
1007-0.yaml,38,60,
65-0.yaml,36,57,
1611-0.yaml,36,57,
1125-0.yaml,36,57,
340-0.yaml,30,48,
504-0.yaml,36,57,
89-0.yaml,38,60,
17-0.yaml,38,60,
427-0.yaml,23,36,
876-0.yaml,49,75,
305-0.yaml,38,60,
537-0.yaml,24,40,
719-0.yaml,38,60,
267-0.yaml,24,40,
265-0.yaml,23,36,
797-0.yaml,39,64,
1153-0.yaml,16,27,
1505-0.yaml,36,57,
1355-0.yaml,39,64,
1399-0.yaml,23,36,
1739-0.yaml,36,57,
1408-0.yaml,23,36,
1965-0.yaml,49,75,
1629-0.yaml,36,57,
560-0.yaml,36,57,
1316-0.yaml,36,57,
597-0.yaml,49,75,
623-0.yaml,36,57,
525-0.yaml,49,75,
549-0.yaml,36,57,
1098-0.yaml,36,57,
1219-0.yaml,23,36,
625-0.yaml,23,36,
1075-0.yaml,23,36,
1214-0.yaml,38,60,
1741-0.yaml,23,36,
644-0.yaml,39,64,
404-0.yaml,38,60,
1713-0.yaml,49,75,
1227-0.yaml,49,75,
878-0.yaml,39,64,
1815-0.yaml,24,40,
542-0.yaml,36,57,
1633-0.yaml,23,36,
244-0.yaml,16,27,
592-0.yaml,30,48,
1173-0.yaml,49,75,
1559-0.yaml,36,57,
816-0.yaml,24,40,
1735-0.yaml,30,48,
709-0.yaml,30,48,
196-0.yaml,30,48,
1051-0.yaml,30,48,
339-0.yaml,24,40,
7-0.yaml,30,48,
641-0.yaml,36,57,
366-0.yaml,24,40,
741-0.yaml,49,75,
826-0.yaml,30,48,
509-0.yaml,39,64,
1474-0.yaml,30,48,
934-0.yaml,30,48,
82-0.yaml,16,27,
566-0.yaml,38,60,
37-0.yaml,16,27,
1528-0.yaml,30,48,
968-0.yaml,39,64,
1218-0.yaml,49,75,
818-0.yaml,38,60,
43-0.yaml,30,48,
1027-0.yaml,16,27,
692-0.yaml,38,60,
674-0.yaml,38,60,
1324-0.yaml,16,27,
493-0.yaml,30,48,
1067-0.yaml,39,64,
626-0.yaml,39,64,
1402-0.yaml,30,48,
1340-0.yaml,38,60,
436-0.yaml,23,36,
183-0.yaml,49,75,
759-0.yaml,49,75,
1603-0.yaml,16,27,
1563-0.yaml,24,40,
440-0.yaml,38,60,
551-0.yaml,36,57,
425-0.yaml,36,57,
1610-0.yaml,38,60,
534-0.yaml,49,75,
1541-0.yaml,36,57,
108-0.yaml,36,57,
1010-0.yaml,36,57,
202-0.yaml,23,36,
1352-0.yaml,36,57,
1421-0.yaml,38,60,
157-0.yaml,23,36,
58-0.yaml,23,36,
463-0.yaml,23,36,
125-0.yaml,38,60,
1328-0.yaml,39,64,
1391-0.yaml,39,64,
1123-0.yaml,30,48,
206-0.yaml,38,60,
822-0.yaml,49,75,
1516-0.yaml,23,36,
737-0.yaml,38,60,
697-0.yaml,23,36,
510-0.yaml,24,40,
809-0.yaml,38,60,
763-0.yaml,30,48,
773-0.yaml,38,60,
1574-0.yaml,38,60,
91-0.yaml,16,27,
770-0.yaml,39,64,
918-0.yaml,36,57,
1285-0.yaml,30,48,
1617-0.yaml,24,40,
1631-0.yaml,36,57,
307-0.yaml,16,27,
1177-0.yaml,30,48,
1162-0.yaml,16,27,
895-0.yaml,23,36,
1443-0.yaml,49,75,
19-0.yaml,16,27,
883-0.yaml,16,27,
443-0.yaml,36,57,
1519-0.yaml,30,48,
820-0.yaml,16,27,
1619-0.yaml,38,60,
1119-0.yaml,49,75,
1244-0.yaml,36,57,
489-0.yaml,49,75,
1138-0.yaml,23,36,
1836-0.yaml,36,57,
611-0.yaml,38,60,
1600-0.yaml,30,48,
1587-0.yaml,49,75,
670-0.yaml,23,36,
987-0.yaml,24,40,
1058-0.yaml,39,64,
981-0.yaml,36,57,
1176-0.yaml,24,40,
1418-0.yaml,39,64,
772-0.yaml,30,48,
1160-0.yaml,38,60,
456-0.yaml,24,40,
174-0.yaml,49,75,
811-0.yaml,16,27,
526-0.yaml,23,36,
408-0.yaml,49,75,
1596-0.yaml,49,75,
1452-0.yaml,49,75,
16-0.yaml,30,48,
1388-0.yaml,36,57,
27-0.yaml,36,57,
713-0.yaml,36,57,
1939-0.yaml,23,36,
1025-0.yaml,38,60,
632-0.yaml,36,57,
353-0.yaml,36,57,
1206-0.yaml,36,57,
1220-0.yaml,39,64,
266-0.yaml,39,64,
518-0.yaml,39,64,
614-0.yaml,36,57,
1491-0.yaml,24,40,
77-0.yaml,39,64,
464-0.yaml,39,64,
800-0.yaml,38,60,
583-0.yaml,30,48,
292-0.yaml,23,36,
684-0.yaml,36,57,
567-0.yaml,36,57,
1089-0.yaml,36,57,
166-0.yaml,23,36,
782-0.yaml,38,60,
1578-0.yaml,49,75,
1546-0.yaml,30,48,
1649-0.yaml,36,57,
109-0.yaml,16,27,
946-0.yaml,16,27,
1250-0.yaml,38,60,
655-0.yaml,30,48,
287-0.yaml,38,60,
